UserID,WindowID,Split,City,State,Country,ZipCode,DegreeType,Major,GraduationDate,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany
7013,6,Train,Tucson,AZ,US,85715,,Elementary Education,1993-01-01 00:00:00,5,22.0,Yes,No,0
7084,6,Train,Huntingdon Valley,PA,US,19006,,COMPUTER TECHNOLOGIES,1994-04-01 00:00:00,4,26.0,No,No,0
7146,6,Train,Mesa,AZ,US,85201,High School,Not Applicable,1982-06-01 00:00:00,4,8.0,No,No,0
7167,6,Train,Washington,PA,US,15301,Bachelor's,Economics,,9,13.0,No,No,0
7194,6,Train,Portsmouth,VA,US,23703,Master's,Information Systems,2004-01-01 00:00:00,6,23.0,Yes,Yes,9
7305,6,Train,Crowley,LA,US,70526,High School,Not Applicable,1992-01-01 00:00:00,6,19.0,Yes,No,0
7311,6,Train,Holbrook,NY,US,11741,,Medical Billing/Coding,2008-06-01 00:00:00,2,3.0,Yes,No,0
7313,6,Train,Overland Park,KS,US,66212,,Secondary Education,2012-06-01 00:00:00,5,11.0,Yes,No,0
7409,6,Train,New York,NY,US,10019,Bachelor's,Psychology,2012-06-01 00:00:00,4,12.0,Yes,No,0
7460,6,Train,Bronx,NY,US,10473,Master's,Clinical Medical Assistant,2007-01-01 00:00:00,4,10.0,Yes,No,0
7463,6,Train,Clearwater,FL,US,33760,High School,Not Applicable,,9,47.0,Yes,No,0
7642,6,Train,Villa Rica,GA,US,30180,Bachelor's,Business Administration,2006-05-01 00:00:00,6,10.0,Yes,No,0
7660,6,Train,Eugene,OR,US,97402,Bachelor's,Commercial Photography,1984-06-01 00:00:00,4,6.0,Yes,Yes,6
7947,6,Train,Houston,TX,US,77022,Bachelor's,Criminal,2000-01-01 00:00:00,3,10.0,Yes,No,0
7981,6,Train,Newport News,VA,US,23608,Associate's,Occupational Therapy,2013-06-01 00:00:00,1,0.0,No,No,0
7999,6,Train,Denton,TX,US,76201,Bachelor's,Entrepreneurship/Entrepreneurial Studies,2012-08-01 00:00:00,5,11.0,Yes,No,0
8034,6,Train,Keyport,NJ,US,07735,Bachelor's,Art Education,2011-05-01 00:00:00,2,7.0,No,No,0
8121,6,Train,Belton,TX,US,76513,High School,Not Applicable,1986-01-01 00:00:00,4,30.0,Yes,Yes,25
8209,6,Train,Wappingers Falls,NY,US,12590,High School,Not Applicable,1973-01-01 00:00:00,6,31.0,No,No,0
8236,6,Train,San Jose,CA,US,95121,Master's,MBA,2001-12-01 00:00:00,3,14.0,Yes,Yes,8
8267,6,Train,Belen,NM,US,87002,High School,Not Applicable,2012-06-01 00:00:00,2,3.0,No,No,0
8291,6,Train,Lithonia,GA,US,30038,Associate's,Criminal Justice/Corrections,1996-06-01 00:00:00,6,39.0,Yes,Yes,31
8304,6,Train,Ceres,CA,US,95307,High School,Not Applicable,2005-01-01 00:00:00,6,28.0,Yes,No,0
8321,6,Train,Rockwall,TX,US,75032,,Accounting,,5,12.0,Yes,No,0
8335,6,Train,Fruitland,MD,US,21826,High School,Psychology,,5,10.0,Yes,Yes,3
8347,6,Train,Cookeville,TN,US,38506,High School,Not Applicable,1988-05-01 00:00:00,2,8.0,Yes,No,0
8478,6,Train,Citrus Heights,CA,US,95610,Bachelor's,Communications,2012-06-01 00:00:00,5,6.0,Yes,No,0
8529,6,Train,Detroit,MI,US,48224,High School,Not Applicable,2010-01-01 00:00:00,4,11.0,Yes,No,0
8540,6,Train,Gainesville,FL,US,32607,Bachelor's,Sociology,2009-05-01 00:00:00,5,8.0,Yes,No,0
8586,6,Train,Odessa,MO,US,64076,High School,Not Applicable,1974-01-01 00:00:00,2,35.0,No,No,0
8712,6,Train,Houston,TX,US,77065,Bachelor's,Marketing,2003-01-01 00:00:00,5,11.0,Yes,No,0
8793,6,Test,Irving,TX,US,75038,High School,Not Applicable,,3,3.0,No,No,0
8830,6,Train,Louisville,KY,US,40272,Bachelor's,Civil Engineering,2007-05-01 00:00:00,7,11.0,No,No,0
8867,6,Train,Humble,TX,US,77346,Bachelor's,Spanish/ Marketing,2012-05-01 00:00:00,3,5.0,No,No,0
8947,6,Test,Rochester,NY,US,14627,Bachelor's,Financial Economics,2012-05-01 00:00:00,4,5.0,No,Yes,3
9008,6,Train,Cliffside Park,NJ,US,07010,Bachelor's,Business Administration,,6,10.0,Yes,Yes,25
9054,6,Test,Middletown,NJ,US,07748,Bachelor's,Biomedical Engineering,2012-05-01 00:00:00,1,2.0,No,No,0
9061,6,Train,Allentown,PA,US,18104,High School,Not Applicable,2008-06-01 00:00:00,5,2.0,Yes,No,0
9102,6,Train,Dallas,TX,US,75206,High School,Not Applicable,2007-05-01 00:00:00,5,6.0,No,Yes,5
9149,6,Train,Owings Mills,MD,US,21117,Master's,Chemical & Biochemical Engineering,2011-05-01 00:00:00,4,8.0,No,No,0
9176,6,Train,Indianapolis,IN,US,46250,High School,Not Applicable,1990-06-01 00:00:00,4,13.0,Yes,No,0
9213,6,Train,Appleton,WI,US,54914,Bachelor's,Communication & Political Science,2012-05-01 00:00:00,3,6.0,Yes,No,0
9335,6,Train,Moreno Valley,CA,US,92556,,Marine Technology Training Center,2010-01-01 00:00:00,4,7.0,Yes,No,0
9408,6,Train,Lake Charles,LA,US,70606,Bachelor's,Family and Child Studies,,3,15.0,Yes,No,0
9411,6,Train,Rialto,CA,US,92376,Bachelor's,Computer Information Systems,2010-01-01 00:00:00,4,11.0,No,No,0
9458,6,Train,Winter Park,FL,US,32789,,Early Childhood Education Studies,,5,29.0,Yes,No,0
9526,6,Train,Kennesaw,GA,US,30144,High School,Not Applicable,2005-06-01 00:00:00,3,11.0,No,No,0
9565,6,Test,Detroit,MI,US,48214,High School,Not Applicable,1999-06-01 00:00:00,2,12.0,No,No,0
9604,6,Train,Chickasaw,AL,US,36611,,Business Administrations,2002-04-01 00:00:00,2,10.0,No,No,0
9640,6,Train,Lake Bluff,IL,US,60044-2625,Bachelor's,Marketing,2012-06-01 00:00:00,10,5.0,No,No,0
9699,6,Train,Philadelphia,PA,US,19119,Bachelor's,Elementary Education,1977-01-01 00:00:00,4,111.0,No,No,0
9784,6,Train,Inver Grove Heights,MN,US,55077,Bachelor's,Economics,2008-06-01 00:00:00,8,8.0,Yes,No,0
9891,6,Train,Mooresville,NC,US,28117,Bachelor's,Computer science,2001-01-01 00:00:00,5,9.0,Yes,No,0
9937,6,Train,Downers Grove,IL,US,60516,High School,Not Applicable,2008-01-01 00:00:00,3,7.0,Yes,No,0
9951,6,Train,Melbourne,FL,US,32901,Master's,Electrical Engineering,2012-05-01 00:00:00,3,3.0,No,No,0
10053,6,Train,Pensacola,FL,US,32503,High School,Not Applicable,2009-06-01 00:00:00,1,4.0,No,No,0
10097,6,Train,El Paso,TX,US,79934,Bachelor's,Industrial Engineer,,5,7.0,No,Yes,6
10139,6,Train,Dallas,TX,US,75206,Bachelor's,Architecture,2006-03-01 00:00:00,2,6.0,No,No,0
10250,6,Train,Independence,KY,US,41051,High School,Not Applicable,2004-05-01 00:00:00,1,8.0,No,No,0
10297,6,Train,Martinsville,IN,US,46151,Master's,Security Administration,2012-05-01 00:00:00,6,24.0,Yes,No,0
10310,6,Train,Jacksonville,FL,US,32258,High School,Not Applicable,2002-01-01 00:00:00,3,8.0,Yes,Yes,20
10349,6,Train,Greensboro,NC,US,27405,,Management,1991-01-01 00:00:00,6,14.0,No,No,0
10378,6,Train,Huntingdon Valley,PA,US,19006,Master's,Information Systems Management,2011-12-01 00:00:00,4,13.0,Yes,Yes,5
10498,6,Train,Philadelphia,PA,US,19115,,Medical Billing & Coding,,4,7.0,Yes,No,0
10508,6,Train,Indianapolis,IN,US,46224,High School,Graphic design,,4,7.0,Yes,No,0
10513,6,Train,Moreno Valley,CA,US,92557,High School,Not Applicable,2000-01-01 00:00:00,6,9.0,Yes,No,0
10515,6,Train,Houston,TX,US,77006,Bachelor's,Physics,2010-01-01 00:00:00,5,6.0,No,No,0
10533,6,Train,Gardena,CA,US,90247,Bachelor's,Baguio General Hospital,1982-01-01 00:00:00,10,24.0,Yes,No,0
10564,6,Train,Manvel,TX,US,77578,,Communications,,3,2.0,No,No,0
10610,6,Train,Windermere,FL,US,34786,,sales,,5,32.0,Yes,No,0
10741,6,Train,Charlotte,NC,US,28213,,Business/Banking,1987-01-01 00:00:00,4,13.0,Yes,No,0
10790,6,Train,Southgate,MI,US,48195,High School,Not Applicable,2011-05-01 00:00:00,6,5.0,No,No,0
10881,6,Train,Norfolk,VA,US,23509,Bachelor's,Accounting,2012-05-01 00:00:00,1,0.0,Yes,No,0
10915,6,Train,Pineville,LA,US,71360,Bachelor's,Social Science,2004-01-01 00:00:00,4,15.0,Yes,No,0
10944,6,Test,Richardson,TX,US,75080,Bachelor's,Marketing & B.S Business Administration,2012-06-01 00:00:00,1,2.0,No,No,0
10951,6,Train,Orlando,FL,US,32818,Bachelor's,Marketing/Business Administration,,3,2.0,No,No,0
10992,6,Test,La Verne,CA,US,91750,Bachelor's,Restaurant,2007-05-01 00:00:00,7,7.0,Yes,No,0
10998,6,Train,West Roxbury,MA,US,02132,,English Literature,,5,13.0,Yes,No,0
11021,6,Train,Westport,MA,US,02790,Bachelor's,Business Administration,2012-05-01 00:00:00,4,9.0,Yes,No,0
11129,6,Train,Kansas City,MO,US,64114,Bachelor's,French,2010-05-01 00:00:00,4,4.0,Yes,No,0
11288,6,Train,Blue Springs,MO,US,64015,High School,Not Applicable,1985-01-01 00:00:00,7,16.0,Yes,No,0
11322,6,Train,Columbus,MS,US,39701,High School,Not Applicable,2012-05-01 00:00:00,2,7.0,No,No,0
11341,6,Train,Aurora,IL,US,60506,,Business Management,2007-05-01 00:00:00,2,4.0,Yes,No,0
11365,6,Train,Louisville,KY,US,40217,High School,Not Applicable,1979-01-01 00:00:00,5,20.0,No,No,0
11405,6,Train,Brooklyn,NY,US,11233,High School,Science / Math,1970-01-01 00:00:00,10,30.0,Yes,No,0
11439,6,Train,Uniondale,NY,US,11553,,Health Science,2015-05-01 00:00:00,5,5.0,Yes,No,0
11446,6,Train,Orlando,FL,US,32810,,Communications,2000-01-01 00:00:00,5,8.0,Yes,No,0
11468,6,Train,Pensacola,FL,US,32507,Bachelor's,Geography,2009-05-01 00:00:00,2,8.0,No,No,0
11643,6,Train,Bellflower,CA,US,90706,Bachelor's,Sociology: Criminal Justice,2012-05-01 00:00:00,2,3.0,No,No,0
11655,6,Train,Richmond,IN,US,47374,High School,Not Applicable,2006-01-01 00:00:00,1,3.0,No,No,0
11676,6,Train,Norfolk,VA,US,23518,,Engineering/Business,,4,15.0,Yes,Yes,75
11869,6,Train,Dallas,TX,US,75241,High School,Not Applicable,,3,10.0,Yes,No,0
11981,6,Train,Wilmington,NC,US,28411,,Trust and Wealth Management,2012-05-01 00:00:00,5,6.0,Yes,No,0
12245,6,Train,Woodlake,CA,US,93286,High School,Not Applicable,2000-06-01 00:00:00,3,9.0,No,No,0
12253,6,Train,Vineland,NJ,US,08360,High School,Not Applicable,,3,11.0,Yes,No,0
12274,6,Train,Atlanta,GA,US,30338,High School,Not Applicable,2007-01-01 00:00:00,3,8.0,Yes,No,0
12280,6,Train,Foster City,CA,US,94404,Bachelor's,Organizational Communications,2007-01-01 00:00:00,4,5.0,Yes,No,0
12323,6,Train,Beaverton,OR,US,97006,Bachelor's,Business Administration,2011-06-01 00:00:00,5,4.0,Yes,No,0
12407,6,Train,Port Huron,MI,US,48060,High School,Not Applicable,,7,7.0,Yes,No,0
12411,6,Train,Ripon,CA,US,95366,Associate's,General Education,2011-09-01 00:00:00,2,5.0,No,No,0
12446,6,Train,Macon,GA,US,31211,High School,Not Applicable,1995-01-01 00:00:00,5,15.0,Yes,No,0
12555,6,Train,Tampa,FL,US,33610,High School,Not Applicable,,2,4.0,Yes,Yes,23
12557,6,Train,Birmingham,AL,US,35205,PhD,"Counseling Psychology, Counselor Education and Supervision",2003-06-01 00:00:00,6,36.0,Yes,No,0
12558,6,Train,Phenix City,AL,US,36870,,Business,2010-05-01 00:00:00,3,2.0,No,No,0
12616,6,Train,Grand Prairie,TX,US,75052,Bachelor's,Health Administration,2012-06-01 00:00:00,4,7.0,Yes,No,0
12634,6,Train,Chandler,AZ,US,85225,High School,Not Applicable,2006-05-01 00:00:00,5,7.0,No,No,0
12653,6,Train,Rocky Hill,CT,US,06067,Bachelor's,Accounting,2012-05-01 00:00:00,7,27.0,Yes,No,0
12662,6,Train,Milton,FL,US,32570,Associate's,Business and Finance,,2,7.0,Yes,No,0
12667,6,Train,Euless,TX,US,76039,,Computer Information Systems,1992-01-01 00:00:00,2,19.0,Yes,No,0
12725,6,Train,Winchester,IN,US,47394,Associate's,Business,,4,4.0,Yes,No,0
12773,6,Train,Long Beach,CA,US,90807,Associate's,Business,,4,14.0,Yes,No,0
12796,6,Train,North Olmsted,OH,US,44070,Associate's,Business Management,1990-03-01 00:00:00,3,16.0,Yes,Yes,18
12920,6,Train,Woodhaven,NY,US,11421,,Electrical,1993-05-01 00:00:00,1,22.0,Yes,No,0
12961,6,Train,Gainesville,GA,US,30507,,EDUCATION,2012-06-01 00:00:00,3,5.0,No,No,0
13061,6,Train,Jonesboro,GA,US,30238,High School,Not Applicable,2012-06-01 00:00:00,4,9.0,Yes,No,0
13101,6,Train,Delray Beach,FL,US,33445,Bachelor's,Entrepreneurship,2008-05-01 00:00:00,4,12.0,Yes,No,0
13119,6,Train,Pinson,AL,US,35126,High School,Not Applicable,2007-01-01 00:00:00,2,5.0,Yes,Yes,7
